Age,Attrition,Department,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany
41,Yes,Sales,Life Sciences,2,Female,2,Sales Executive,4,5993,Yes,1,6
49,No,Research & Development,Life Sciences,3,Male,2,Research Scientist,2,5130,No,3,10
37,Yes,Research & Development,Other,4,Male,1,Laboratory Technician,3,2090,Yes,3,0
33,No,Research & Development,Life Sciences,4,Female,1,Research Scientist,3,2909,Yes,3,8
27,No,Research & Development,Medical,1,Male,1,Laboratory Technician,2,3468,No,3,2
32,No,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,4,3068,No,2,7
59,No,Research & Development,Medical,3,Female,1,Laboratory Technician,1,2670,Yes,2,1
30,No,Research & Development,Life Sciences,4,Male,1,Laboratory Technician,3,2693,No,3,1
38,No,Research & Development,Life Sciences,4,Male,3,Manufacturing Director,3,9526,No,3,9
36,No,Research & Development,Medical,3,Male,2,Healthcare Representative,3,5237,No,2,7
35,No,Research & Development,Medical,1,Male,1,Laboratory Technician,2,2426,No,3,5
29,No,Research & Development,Life Sciences,4,Female,2,Laboratory Technician,3,4193,Yes,3,9
31,No,Research & Development,Life Sciences,1,Male,1,Research Scientist,3,2911,No,2,5
34,No,Research & Development,Medical,2,Male,1,Laboratory Technician,4,2661,No,3,2
28,Yes,Research & Development,Life Sciences,3,Male,1,Laboratory Technician,3,2028,Yes,3,4
29,No,Research & Development,Life Sciences,2,Female,3,Manufacturing Director,1,9980,No,3,10
32,No,Research & Development,Life Sciences,1,Male,1,Research Scientist,2,3298,Yes,2,6
22,No,Research & Development,Medical,4,Male,1,Laboratory Technician,4,2935,Yes,2,1
53,No,Sales,Life Sciences,1,Female,4,Manager,4,15427,No,3,25
38,No,Research & Development,Life Sciences,4,Male,1,Research Scientist,4,3944,Yes,3,3
24,No,Research & Development,Other,1,Female,2,Manufacturing Director,3,4011,No,2,4
36,Yes,Sales,Life Sciences,3,Male,1,Sales Representative,1,3407,No,3,5
34,No,Research & Development,Life Sciences,1,Female,3,Research Director,2,11994,No,3,12
21,No,Research & Development,Life Sciences,3,Male,1,Research Scientist,4,1232,No,3,0
34,Yes,Research & Development,Medical,2,Male,1,Research Scientist,1,2960,No,3,4
53,No,Research & Development,Other,3,Female,5,Manager,3,19094,No,2,14
32,Yes,Research & Development,Life Sciences,2,Female,1,Research Scientist,1,3919,Yes,3,10
42,No,Sales,Marketing,3,Male,2,Sales Executive,2,6825,No,3,9
44,No,Research & Development,Medical,1,Female,3,Healthcare Representative,4,10248,No,3,22
46,No,Sales,Marketing,2,Female,5,Manager,1,18947,No,2,2
33,No,Research & Development,Medical,3,Male,1,Laboratory Technician,4,2496,No,3,1
44,No,Research & Development,Other,4,Male,2,Healthcare Representative,4,6465,Yes,4,4
30,No,Research & Development,Medical,4,Male,1,Laboratory Technician,3,2206,No,3,10
39,Yes,Sales,Technical Degree,4,Male,2,Sales Representative,4,2086,No,4,1
24,Yes,Research & Development,Medical,2,Male,1,Research Scientist,4,2293,Yes,2,2
43,No,Research & Development,Medical,4,Female,1,Research Scientist,3,2645,No,2,5
50,Yes,Sales,Marketing,1,Male,1,Sales Representative,3,2683,Yes,3,3
35,No,Sales,Marketing,4,Female,1,Sales Representative,4,2014,No,3,2
36,No,Research & Development,Life Sciences,2,Female,1,Research Scientist,1,3419,Yes,4,1
33,No,Sales,Life Sciences,3,Female,2,Sales Executive,1,5376,No,3,5
35,No,Research & Development,Other,3,Male,1,Laboratory Technician,4,1951,No,3,1
27,No,Research & Development,Life Sciences,4,Female,1,Laboratory Technician,1,2341,No,3,1
26,Yes,Research & Development,Life Sciences,1,Male,1,Laboratory Technician,3,2293,No,2,1
27,No,Sales,Life Sciences,4,Male,3,Sales Executive,3,8726,No,3,9
